support,itemsets
0.13933362180874082,"frozenset({'Valkyrie', 'Bomb Tower'})"
0.11683254002596279,"frozenset({'Bomb Tower', 'Wall Breakers'})"
0.14712245781047165,"frozenset({'Executioner', 'Electro Wizard'})"
0.13414106447425356,"frozenset({'Magic Archer', 'Electro Wizard'})"
0.10428385980095196,"frozenset({'Electro Wizard', 'Mega Knight'})"
0.1224578104716573,"frozenset({'Electro Wizard', 'Night Witch'})"
0.1479878840328862,"frozenset({'Electro Wizard', 'P.E.K.K.A'})"
0.18000865426222415,"frozenset({'Poison', 'Electro Wizard'})"
0.11553440069234097,"frozenset({'Electro Wizard', 'Skeletons'})"
0.12548680225010816,"frozenset({'The Log', 'Electro Wizard'})"
0.1549112938122025,"frozenset({'Tornado', 'Electro Wizard'})"
0.17524881003894419,"frozenset({'Electro Wizard', 'Zap'})"
0.20986585893552576,"frozenset({'Executioner', 'Elixir Golem'})"
0.13154478580700996,"frozenset({'Magic Archer', 'Elixir Golem'})"
0.21981826049329295,"frozenset({'Night Witch', 'Elixir Golem'})"
0.10298572046733016,"frozenset({'Poison', 'Elixir Golem'})"
0.1293812202509736,"frozenset({'Elixir Golem', 'Rocket'})"
0.1709216789268715,"frozenset({'Skeletons', 'Elixir Golem'})"
0.17697966248377325,"frozenset({'The Log', 'Elixir Golem'})"
0.22284725227174385,"frozenset({'Tornado', 'Elixir Golem'})"
0.15967113803548247,"frozenset({'Executioner', 'Freeze'})"
0.11596711380354825,"frozenset({'Executioner', 'Golem'})"
0.17741237559498052,"frozenset({'Executioner', 'Graveyard'})"
0.1449588922544353,"frozenset({'Executioner', 'Ice Spirit'})"
0.10904370402423194,"frozenset({'Executioner', 'Ice Wizard'})"
0.1648636953699697,"frozenset({'Lightning', 'Executioner'})"
0.10082215491129382,"frozenset({'Executioner', 'Lumberjack'})"
0.21852012115967115,"frozenset({'Executioner', 'Magic Archer'})"
0.18000865426222415,"frozenset({'Executioner', 'Mega Knight'})"
0.23150151449588924,"frozenset({'Executioner', 'Miner'})"
0.31501514495889227,"frozenset({'Executioner', 'Night Witch'})"
0.10125486802250108,"frozenset({'Executioner', 'P.E.K.K.A'})"
0.21549112938122025,"frozenset({'Executioner', 'Poison'})"
0.22414539160536565,"frozenset({'Executioner', 'Rocket'})"
0.10125486802250108,"frozenset({'Royal Giant', 'Executioner'})"
0.34314149718736475,"frozenset({'Executioner', 'Skeletons'})"
0.11683254002596279,"frozenset({'Executioner', 'Sparky'})"
0.35049762007788837,"frozenset({'Executioner', 'The Log'})"
0.5543054954565123,"frozenset({'Tornado', 'Executioner'})"
0.2388576373864128,"frozenset({'Executioner', 'Valkyrie'})"
0.13067935958459542,"frozenset({'Executioner', 'Wall Breakers'})"
0.2682821289485071,"frozenset({'Executioner', 'Zap'})"
