antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Bandit'}),frozenset({'Zap'}),0.2609260060579835,0.4859368238857637,0.1882302033751622,0.7213930348258706,1.4845407867164622,1.0,0.06143664872214816,1.8451196142671689,0.4416215779697972,0.33694810224632055,0.45802971673618437,0.5543741665669869
frozenset({'Barbarian Barrel'}),frozenset({'Executioner'}),0.3543920380787538,0.6101254868022501,0.2254435309389874,0.636141636141636,1.042640653278951,1.0,0.009219916187346189,1.0715007594260304,0.06334616354401947,0.3050351288056205,0.06672954619680445,0.5028225911204633
frozenset({'Giant Snowball'}),frozenset({'Barbarian Barrel'}),0.2154911293812202,0.3543920380787538,0.110774556469061,0.5140562248995985,1.450529836072005,1.0,0.03440621593975794,1.3285651447800855,0.3959123345284059,0.24128180961357204,0.24730826792424396,0.41331626873795546
frozenset({'Lightning'}),frozenset({'Barbarian Barrel'}),0.2444829078321073,0.3543920380787538,0.1419299004759844,0.5805309734513273,1.6381038823516696,1.0,0.055287104493943764,1.5391075885464305,0.5155913865839687,0.31060606060606055,0.3502728415858025,0.49050968696986386
frozenset({'Barbarian Barrel'}),frozenset({'Night Witch'}),0.3543920380787538,0.398096062310688,0.1834703591518823,0.5177045177045178,1.3004512395816745,1.0,0.04238828427847102,1.2479982910570802,0.35785826293692147,0.3224334600760457,0.19871685148464452,0.4892870414609546
frozenset({'Barbarian Barrel'}),frozenset({'Tornado'}),0.3543920380787538,0.6603202077022934,0.255300735612289,0.7203907203907202,1.0909717921513462,1.0,0.021288511420087225,1.2148373357721463,0.1291589039850953,0.33618233618233606,0.17684452843688445,0.5535112186488331
frozenset({'Bomb Tower'}),frozenset({'Bats'}),0.1752488100389441,0.3556901774123756,0.1163998269147555,0.6641975308641977,1.867348532636449,1.0,0.054065546580695775,1.9187167510881478,0.5631775219713137,0.2807933194154488,0.4788183303070255,0.4957240695683519
frozenset({'Bats'}),frozenset({'Executioner'}),0.3556901774123756,0.6101254868022501,0.1826049329294677,0.5133819951338198,0.8414367310313883,1.0,-0.03441070971503665,0.8011921246213758,-0.2262896854713992,0.23314917127071813,-0.24814007685432019,0.4063363876378318
frozenset({'Miner'}),frozenset({'Bats'}),0.3989614885331025,0.3556901774123756,0.2319342276070965,0.5813449023861172,1.6344137097497775,1.0,0.09002754497005183,1.538999109911373,0.6458152004556056,0.4437086092715233,0.3502270446033022,0.6167065144533993
frozenset({'Bats'}),frozenset({'Miner'}),0.3556901774123756,0.3989614885331025,0.2319342276070965,0.6520681265206814,1.6344137097497775,1.0,0.09002754497005183,1.7274603371531114,0.602442789410904,0.4437086092715233,0.42111550783966506,0.6167065144533993
